"S 50","S 2.5","S 97.5","SI 50","SI 2.5","SI 97.5","I 50","I 2.5","I 97.5","IR 50","IR 2.5","IR 97.5"
6225,5851,6608,1.51417503577438,1.36914426319303,1.66194302800167,0,0,4,1.00383949563909,0.907562088590664,1.11082534312093
6166,5666,6518,1.54855556562537,1.36174176735102,1.76801046021077,0,0,6,1.03305100518732,0.929834692050202,1.1638495213245
2474,2170,2798,1.80757873896523,1.70897557210481,1.92939480431903,0,0,2,0.929092112743517,0.86410956322772,0.996601333553458
2035,1692,2432,2.14964934547819,2.03729227645534,2.26575378290979,0,0,1,1.08871740354642,1.01428653965349,1.16299904279903
701,510,963,2.29575027609573,2.18665283664753,2.39626115352919,0,0,1,0.961901023202011,0.907862383758109,1.02663760405843
102,47,182,2.71947007709143,2.6375261852981,2.84662329742425,0,0,0,1.03874311678815,1.00278324324505,1.08781921201218
5794,5607,5994,1.49361702210903,1.36921559736912,1.62130230750284,0,0,0,0.968717800148652,0.89544317638688,1.05884275481443
6558,6344,6716,1.61018775905015,1.30186567668787,1.84604204510699,0,0,0,1.10389934153605,0.946123593235616,1.22518360628895
2267,2066,2450.05,1.86575867024641,1.77690423416012,1.96387420424318,0,0,0,0.934356574503317,0.892720627398607,0.991665175426795
2023,1854,2189,2.10875858264645,2.02688944373214,2.29148393759822,0,0,0,1.04957619900343,0.990104757113092,1.16128320699333
457,377,583.049999999999,2.29146848367399,2.22657167194338,2.34679212265029,0,0,0,0.902063429184697,0.860379673818158,0.937167151935051
51,14,124,2.71762623483149,2.62573696070728,2.84304966555378,0,0,0,1.02732430465625,0.9841801563394,1.10636555674321
5909,5847,6089,1.48934272364795,1.35126331995674,1.64693936986642,0,0,1,0.969555237657055,0.865602314733216,1.05519626684031
5929,5737,6074,1.54825318178441,1.41017052723583,1.73705558368799,0,0,1,1.01696942936593,0.930245336410593,1.15258677610077
2575,2407,2732,1.84535586805242,1.75061483715566,1.93171522687887,0,0,1,0.960942227055363,0.916314884030258,1.00793360350774
1798,1644,2050,2.18286997517528,2.08097754648438,2.31089509352877,0,0,0,1.07738264143174,1.02049094504744,1.15587698087143
649,499,776,2.24534182135708,2.16082011608359,2.30732930046971,0,0,0,0.925897550411602,0.88188360113836,0.963514626282075
159,123,183,2.70224417095595,2.66046822452915,2.79381378888989,0,0,0,1.08298577746824,1.03121200560883,1.11771012519013
6216,6051,6296,1.40739985303639,1.26419687913538,1.51770341225146,0,0,0,0.945663665075517,0.865609583753985,1.01396490353431
6174,6040,6221,1.65073045344527,1.52493632707206,1.75122909274556,0,0,0,1.11931012856844,1.05922668369685,1.16335196226869
2204,2070,2311,1.81037017319142,1.70746631869671,1.88171245517471,0,0,3,0.893609336334413,0.853001091176677,0.93133165760228
1921,1812,1992,2.23661990391831,2.16266071525048,2.28368416175319,0,0,0,1.11484080952905,1.0668886761696,1.14521394621206
521,451,643,2.24967874424525,2.20664479066985,2.31618096076045,0,0,1,0.899133208377997,0.879523789059121,0.918437452774352
79,70,170,2.77131664902715,2.69937847893162,2.7936678506979,0,0,0,1.07332303830747,1.05955340365035,1.08450907893652
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
